sample_accession	run_accession	sample_alias
SAMN02688745	SRR1190365	VMERS_MERS-MRC5-Gleevec-24hrs
SAMN02688745	SRR1190366	VMERS_MERS-MRC5-Gleevec-24hrs
SAMN02688745	SRR1190367	VMERS_MERS-MRC5-Gleevec-24hrs
SAMN02688745	SRR1190368	VMERS_MERS-MRC5-Gleevec-24hrs
SAMN02688745	SRR1190369	VMERS_MERS-MRC5-Gleevec-24hrs
SAMN02688745	SRR1190370	VMERS_MERS-MRC5-Gleevec-24hrs
SAMN02688745	SRR1190371	VMERS_MERS-MRC5-Gleevec-24hrs
SAMN02688745	SRR1190372	VMERS_MERS-MRC5-Gleevec-24hrs
SAMN02688792	SRR1190460	VMERS_MERS-MRC5-Gleevec-48hrs
SAMN02688792	SRR1190461	VMERS_MERS-MRC5-Gleevec-48hrs
SAMN02688792	SRR1190462	VMERS_MERS-MRC5-Gleevec-48hrs
SAMN02688792	SRR1190463	VMERS_MERS-MRC5-Gleevec-48hrs
SAMN02688792	SRR1190464	VMERS_MERS-MRC5-Gleevec-48hrs
SAMN02688792	SRR1190465	VMERS_MERS-MRC5-Gleevec-48hrs
SAMN02688792	SRR1190466	VMERS_MERS-MRC5-Gleevec-48hrs
SAMN02688792	SRR1190467	VMERS_MERS-MRC5-Gleevec-48hrs
SAMN02688873	SRR1190502	VMERS_MERS-MRC5-IFNbeta-24hrs
SAMN02688873	SRR1190503	VMERS_MERS-MRC5-IFNbeta-24hrs
SAMN02688873	SRR1190504	VMERS_MERS-MRC5-IFNbeta-24hrs
SAMN02688873	SRR1190505	VMERS_MERS-MRC5-IFNbeta-24hrs
SAMN02688873	SRR1190506	VMERS_MERS-MRC5-IFNbeta-24hrs
SAMN02688873	SRR1190507	VMERS_MERS-MRC5-IFNbeta-24hrs
SAMN02688873	SRR1190508	VMERS_MERS-MRC5-IFNbeta-24hrs
SAMN02688873	SRR1190509	VMERS_MERS-MRC5-IFNbeta-24hrs
SAMN02688918	SRR1191342	VMERS_MERS-MRC5-IFNbeta-48hrs
SAMN02688918	SRR1191343	VMERS_MERS-MRC5-IFNbeta-48hrs
SAMN02688918	SRR1191344	VMERS_MERS-MRC5-IFNbeta-48hrs
SAMN02688918	SRR1191345	VMERS_MERS-MRC5-IFNbeta-48hrs
SAMN02688918	SRR1191346	VMERS_MERS-MRC5-IFNbeta-48hrs
SAMN02688918	SRR1191347	VMERS_MERS-MRC5-IFNbeta-48hrs
SAMN02688918	SRR1191348	VMERS_MERS-MRC5-IFNbeta-48hrs
SAMN02688918	SRR1191349	VMERS_MERS-MRC5-IFNbeta-48hrs
SAMN02689047	SRR1191667	VMERS_MERS-MRC5HighMOI-24hr-2
SAMN02689047	SRR1191668	VMERS_MERS-MRC5HighMOI-24hr-2
SAMN02689051	SRR1191672	VMERS_MERS-MRC5HighMOI-24hr-3
SAMN02689051	SRR1191673	VMERS_MERS-MRC5HighMOI-24hr-3
SAMN02689052	SRR1191694	VMERS_MERS-MRC5HighMOI-48hr-1
SAMN02689052	SRR1191695	VMERS_MERS-MRC5HighMOI-48hr-1
SAMN02689053	SRR1191783	VMERS_MERS-MRC5HighMOI-48hr-2
SAMN02689055	SRR1191876	VMERS_MERS-MRC5HighMOI-48hr-3
SAMN02689056	SRR1191914	VMERS_MERS-MRC5lowMOI-24hr-1
SAMN02689056	SRR1191915	VMERS_MERS-MRC5lowMOI-24hr-1
SAMN02689135	SRR1191953	VMERS_MERS-MRC5lowMOI-24hr-2
SAMN02689135	SRR1191954	VMERS_MERS-MRC5lowMOI-24hr-2
SAMN02689136	SRR1191990	VMERS_MERS-MRC5lowMOI-24hr-3
SAMN02689136	SRR1191991	VMERS_MERS-MRC5lowMOI-24hr-3
SAMN02689137	SRR1192016	VMERS_MERS-MRC5lowMOI-48hr-1
SAMN02689137	SRR1192017	VMERS_MERS-MRC5lowMOI-48hr-1
SAMN02689138	SRR1192072	VMERS_MERS-MRC5lowMOI-48hr-2
SAMN02689138	SRR1192073	VMERS_MERS-MRC5lowMOI-48hr-2
SAMN02689139	SRR1192166	VMERS_MERS-MRC5HighMOI-24hr-1
SAMN02689139	SRR1192167	VMERS_MERS-MRC5HighMOI-24hr-1
SAMN02689142	SRR1192321	VMERS_MERS-MRC5lowMOI-48hr-3
SAMN02689146	SRR1192353	VMERS_MOCK-MRC5-1
SAMN02689146	SRR1192354	VMERS_MOCK-MRC5-1
SAMN02689147	SRR1192370	VMERS_MOCK-MRC5-2
SAMN02689147	SRR1192371	VMERS_MOCK-MRC5-2
SAMN02689148	SRR1192398	VMERS_MOCK-MRC5-3
SAMN02689148	SRR1192399	VMERS_MOCK-MRC5-3
SAMN02689149	SRR1192413	VMERS_Mock-MRC5-Gleevec-24hrs
SAMN02689149	SRR1192414	VMERS_Mock-MRC5-Gleevec-24hrs
SAMN02689149	SRR1192415	VMERS_Mock-MRC5-Gleevec-24hrs
SAMN02689149	SRR1192416	VMERS_Mock-MRC5-Gleevec-24hrs
SAMN02689149	SRR1192417	VMERS_Mock-MRC5-Gleevec-24hrs
SAMN02689149	SRR1192418	VMERS_Mock-MRC5-Gleevec-24hrs
SAMN02689149	SRR1192419	VMERS_Mock-MRC5-Gleevec-24hrs
SAMN02689149	SRR1192420	VMERS_Mock-MRC5-Gleevec-24hrs
SAMN02689150	SRR1192464	VMERS_Mock-MRC5-Gleevec-48hrs
