Name_GeneSymbol	Value_LogDiffExp
MMP2	3.1083
KIAA1033	1.5559
TIMELESS	1.4838
RNF167	1.5573
POLG2	1.7806
HMGCS1	1.3372
SPAG4	1.1445
LPAR2	3.9197
EDEM1	1.2188
CFLAR	1.4395
MCM3	1.0822
RAB11FIP2	1.148
WDTC1	1.1326
LIG1	1.2769
DNM1	1.8971
SRC	1.4657
GNB5	1.3374
KIF20A	1.1949
KDM3A	1.2258
ARHGAP1	1.037
CLSTN1	1.279
DDR1	1.0961
RPS6KA1	1.1269
COG4	1.1299
PXMP2	2.0591
CASP7	1.2121
NISCH	1.4541
EGR1	1.0726
NUSAP1	0.8639
RPA2	1.2193
NT5DC2	1.0356
TP53BP1	1.0465
HEBP1	1.4579
RAB27A	0.9604
SMARCA4	1.1473
ABHD4	0.8626
ITGB5	0.8322
KIF2C	0.8759
ZNF318	1.6154
SYNE2	5.0336
CIRBP	1.4097
RPN1	0.7983
ZNF274	0.7997
FOXO4	0.8458
PSME1	0.8359
LOXL1	1.2355
SYNGR3	0.8387
STXBP2	1.4634
PSMD10	1.6758
PEX11A	0.8435
NR2F6	0.7445
RFC5	1.343
TWF2	1.0191
PLSCR3	1.7096
SMARCD2	0.8569
TIAM1	0.8574
MAP2K5	0.8862
PRKACA	0.8592
AKT1	0.7036
PGM1	1.0763
RFC2	1.2932
RBM6	1.5924
RNH1	1.6517
CCP110	4.624
HSPB1	0.8478
SNAP25	0.8064
TIPARP	0.8331
SUZ12	0.9143
PRKCD	0.6895
SLC35A1	0.7356
EVL	3.5907
RALGDS	1.546
MAT2A	0.7688
IGF2R	0.7244
SCYL3	0.6629
COPS7A	0.7225
PRAF2	0.9074
MBTPS1	0.7008
PARP2	0.6738
POLD4	0.7892
HMG20B	0.8113
C2CD5	0.805
COL1A1	0.7784
TOP2A	0.6058
SPEN	1.106
GRWD1	0.8242
PSME2	1.6478
HERC6	2.3782
PLEKHJ1	1.3433
DHRS7	0.601
GAA	0.8574
ICMT	0.5861
HOXA10	0.9254
ALDOC	0.5835
PAN2	0.5724
CDC25B	0.5968
FBXO11	3.876
CYTH1	0.6125
HLA-DMA	0.7444
PAK1	0.7504
KAT6A	0.571
MLEC	0.8695
PLCB3	0.6022
CHERP	0.5619
MFSD10	4.1585
SLC37A4	3.8131
LPGAT1	0.8914
ST3GAL5	0.6411
IGHMBP2	4.1079
NPRL2	3.3825
ATMIN	0.5608
ARL4C	0.6567
CRELD2	0.9703
ACAA1	0.9504
CAPN1	0.8832
FIS1	0.6341
SUV39H1	0.7641
PSIP1	0.5392
MEF2C	3.683
PIGB	0.8801
MAPKAPK2	0.8066
AKAP8	1.2639
DMTF1	0.5777
CCNF	0.6474
RAC2	0.5115
PAFAH1B1	0.5098
VPS28	1.3806
ANO10	2.2765
CDK2	0.5596
CCL2	0.5783
SPAG7	0.5529
B4GAT1	0.6854
C5	0.7435
ENOSF1	2.5823
CASP3	1.829
ATP1B1	0.5906
MIF	0.7351
ANKRD10	0.5103
SOX2	0.4784
HADH	0.5189
RPS6	0.5864
KLHDC2	0.5765
CRKL	0.5221
CHN1	0.5727
PLSCR1	2.6351
USP22	0.6025
PDGFA	0.6913
CD58	0.4583
PTK2	0.4609
STAT1	2.6957
SLC5A6	2.0081
CANT1	0.4557
MAP3K4	0.6536
KEAP1	0.8423
FAM57A	0.6334
ZNF589	0.5905
TCFL5	0.5697
CDKN1A	0.444
ABCF3	0.5077
LRRC41	0.4574
DUSP22	0.5176
BNIP3L	0.4753
TCTN1	0.7202
GLI2	0.513
MYCBP2	0.4216
CDKN2A	0.6859
COG7	0.4986
HSPA1A	0.5529
TM9SF2	0.4268
EXT1	0.5536
NCK2	0.4646
UBE2L6	1.1018
MAN2B1	0.6544
PRCP	0.6755
CASC3	0.4274
FAM63A	0.466
EZH2	0.538
WDR61	1.032
NUP85	0.4016
NFKB2	0.4696
PACSIN3	1.1688
ADRB2	0.6118
NIPSNAP1	0.481
CD44	0.54
AMDHD2	0.3983
DERA	0.4262
CTTN	0.5725
MUC1	0.8309
STMN1	0.5366
CALM3	2.391
MVP	0.5987
CENPE	0.4752
ORC1	0.4233
TBC1D9B	0.5273
CDH3	1.5612
MYL9	0.3652
C2CD2	0.4303
PFKL	2.3048
HIST2H2BE	0.3904
SESN1	0.4209
TLK2	0.9442
WDR7	0.514
PSMB8	0.9716
SCAND1	0.7231
BPHL	0.482
SLC35A3	0.4328
PARP1	0.3463
HIST1H2BK	0.5242
PTPRK	0.3499
HTATSF1	0.3752
VAPB	0.4231
PROS1	0.4266
ADGRG1	0.3844
ADAM10	1.908
DCK	0.3446
CCNE2	0.7579
DNAJB1	0.5314
SH3BP5	1.6243
WFS1	0.3428
HOXA5	0.3526
SCRN1	0.321
CIAPIN1	0.5773
DCUN1D4	0.9748
TM9SF3	0.5065
PIP4K2B	0.5833
TIMM17B	0.3818
RTN2	0.4797
KDM5A	0.5495
BAX	0.4682
MBNL2	0.359
GNAI2	0.3172
AKAP8L	0.3304
FKBP4	0.3461
XPO7	0.4073
HOMER2	0.6508
DDIT4	0.3157
VGLL4	0.5028
FDFT1	0.3882
CCDC85B	0.4943
TARBP1	0.3806
TRIM2	0.3704
BACE2	0.3781
RPA1	0.3235
PNKP	0.5247
TMEM97	0.2964
COPB2	0.5257
P4HTM	0.3072
APP	0.3491
PAFAH1B3	0.2967
LBR	0.2947
RBM34	1.7755
GALE	0.3979
SMARCC1	0.3104
FOXO3	0.376
ELOVL6	0.4194
CTSL	0.3852
BID	0.4475
MMP1	0.4907
PYGL	0.2855
CERK	0.7254
ELAVL1	0.3057
KIF14	0.3115
KAT6B	0.5227
NR1H2	0.3642
NR3C1	0.2901
CTNNAL1	0.3696
PLK1	1.3263
TSPAN6	0.3438
FSD1	0.3969
PPOX	0.284
ST6GALNAC2	0.3507
RBM15B	0.3042
STX1A	0.3711
SPDEF	0.324
PRUNE	0.3299
LRP10	0.438
EPHB2	0.308
DNAJA3	0.2444
CDK4	0.2711
SCCPDH	0.6609
GLRX	0.3339
TXNL4B	0.3645
HS2ST1	0.3866
PIK3R4	0.2797
TCEA2	0.4567
UTP14A	0.4924
IARS2	0.3025
NPDC1	0.2971
PIK3C3	0.416
EXOSC4	0.3085
EFCAB14	0.2368
MCOLN1	0.2472
GATA3	0.4071
RPA3	0.3137
MTA1	0.2633
AURKB	0.2664
NET1	0.2797
ABCB6	0.25
CCDC92	0.276
DCTD	0.3764
DAXX	0.2308
PECR	1.4721
CHMP4A	0.3079
RHOA	0.3028
FAS	0.2404
CYB561	0.2102
MAST2	0.3039
BIRC5	0.2549
CNDP2	0.2625
PGAM1	0.2367
TPD52L2	0.3075
KLHL9	0.2199
HDAC6	0.319
NUDT9	0.2707
EML3	0.6592
DDX10	0.2726
BNIP3	0.226
EBP	0.284
