Name_GeneSymbol	Value_LogDiffExp
ACOT9	-3.4015
AKR7A2	-6.0548
ALDOA	-1.467
APPBP2	-1.3659
ATP2C1	-1.3602
BIRC5	-1.9022
BNIP3L	-1.366
C2CD5	-3.4354
CAB39	-1.0779
CCDC85B	-0.897
CCNB1	-3.2074
CCND1	-1.1149
CDC20	-1.0133
CDK1	-0.9334
CLTB	-3.641
CPNE3	-0.8944
CREB1	-3.539
CSNK1A1	-0.9752
CSNK1E	-0.8575
CXCL2	-6.4798
CYCS	-1.7844
CYTH1	-1.224
DCTD	-1.8141
DHRS7	-6.5357
DNM1L	-5.5943
DYNLT3	-1.2514
EBP	-2.6297
EED	-1.102
EGFR	-1.2737
FBXL12	-0.9572
FOS	-1.6513
FOSL1	-1.9288
FZD1	-1.008
G3BP1	-0.969
GATA2	-1.5315
GNPDA1	-0.9096
GOLT1B	-2.8406
GRWD1	-0.9521
GTF2E2	-1.0465
GTPBP8	-3.4011
HDAC2	-0.9319
HEATR1	-1.6699
HIF1A	-0.9418
HIST1H2BK	-1.8471
HLA-DRA	-2.3494
HSD17B10	-1.1449
HSPA8	-3.8332
IARS2	-3.0287
ISOC1	-3.8075
ITFG1	-1.0491
KCTD5	-1.0369
KDELR2	-0.905
KDM3A	-1.4786
KDM5B	-0.9043
KIAA1033	-2.7194
KIF2C	-1.4096
LAGE3	-0.951
LAP3	-2.8108
LGMN	-1.4682
LPAR2	-1.1581
LRPAP1	-0.9502
LSM5	-2.766
LSM6	-0.8676
LYPLA1	-3.269
MAPKAPK5	-0.9207
MBNL1	-0.9273
MCOLN1	-0.8742
MRPL12	-1.4474
MYC	-0.9473
NENF	-3.1076
NOSIP	-0.8684
NOTCH1	-1.0467
NPC1	-0.9114
NRAS	-1.0981
NRIP1	-1.1484
NUP133	-0.9008
NUP62	-0.8565
NUP93	-1.0685
OXSR1	-1.7308
PAICS	-1.4815
PCMT1	-2.2175
PDGFA	-1.4086
PEX11A	-0.9673
PFKL	-1.6475
PGAM1	-1.4703
PGM1	-0.9294
PHKA1	-0.8607
PIK3C2B	-2.1212
PIK3C3	-1.3483
PIK3R4	-1.2999
PLA2G15	-0.9389
PLK1	-3.4289
POLR2K	-1.4052
PPP2R5E	-1.9659
PSIP1	-3.1455
PSMD4	-1.733
PTPN12	-1.1298
RAB27A	-1.3574
RFX5	-1.3816
RNF167	-2.0762
RNMT	-1.0229
RNPS1	-1.514
RPIA	-3.4268
RSU1	-1.1653
S100A13	-0.9014
SCAND1	-1.7263
SERPINE1	-1.329
SKIV2L	-1.1374
SLC25A13	-0.9117
SMAD3	-1.1468
SMARCA4	-0.8825
SMC4	-1.6597
SNAP25	-1.172
SNCA	-2.5118
SNX11	-0.9165
SNX6	-1.3627
SOX2	-1.0609
SPDEF	-1.6976
SPP1	-5.5758
SRC	-1.551
SSBP2	-1.7515
STAMBP	-0.9196
STAT5B	-1.3157
STUB1	-3.073
TARBP1	-3.3415
TBPL1	-1.0951
TCERG1	-0.976
TCFL5	-1.014
THAP11	-0.9691
TIMM9	-1.4968
TMEM2	-1.2921
TMEM50A	-1.0857
TNIP1	-3.0309
TOPBP1	-1.514
TRAP1	-1.2765
TRAPPC3	-0.9475
TSPAN4	-1.4103
TSTA3	-1.1284
UBE2C	-1.1227
UBE3C	-3.0028
UBR7	-1.8721
UGDH	-1.0816
VDAC1	-4.1374
WDTC1	-1.4399
WIPF2	-1.1224
YME1L1	-3.5449
ZNF274	-2.1681
