perturbagen,threshold,min_m,min_c,min_n1,min_a2,min_a3,min_ap,min_a4,min_c5
179324-69-7,0,-0.14207797541168948,-0.12509268870426124,-0.023774457365166327,-0.1149455097974006,0.015870888184404946,-0.016943332193205575,-0.005574285461832575,0.11620061685528188
179324-69-7,0.26,-0.13415228618251243,-0.14287706325288665,-0.052237361820716595,-0.18757914349603727,0.02633230656586984,-0.017687242744893698,-0.0050478463755470274,0.13050212270818157
179324-69-7,0.5,-0.1317527636489323,-0.1509192866439135,-0.27315960093911,-0.2948325293822297,0.021005992745704024,-0.00560346967683379,-0.003875682819243516,0.14020256836833417
179324-69-7,0.85,-0.1366127683819515,-0.15458092472410576,-0.4606977177316156,-0.4868063328519558,0.061218007872328284,0.025481361421673863,-0.06112927365206905,0.1328200293004935
179324-69-7,1,-0.14215125803506698,-0.16520491878807628,-0.6601712453488605,-0.5626550838786842,0.076474446924242,0.04621367670849944,-0.1311155881941829,0.1431992729291831
A-443654,0,-0.0926308489630181,-0.11659085090492373,-0.08226972094527212,-0.10380920946629703,-0.17642156801011943,-0.18803765150287974,-0.20890640729420856,-0.1898897157306275
A-443654,0.26,-0.08717411358740583,-0.1379213611195998,-0.17192999161750794,-0.2304048882726473,-0.21207365951670407,-0.2169382951742535,-0.24267608606867624,-0.21218460020941765
A-443654,0.5,-0.0948431514740987,-0.16115065677247475,-0.3673565220503407,-0.4173903362624286,-0.2496314090282552,-0.2474168375816678,-0.27049923451362307,-0.23311860563364875
A-443654,0.85,-0.10575458751289829,-0.13089024290941195,-0.5856039197429915,-0.4341133716940727,-0.24106985810998474,-0.2516577000064595,-0.30944921151847754,-0.22324996483248594
A-443654,1,-0.11508919593611823,-0.12786968511644076,-0.617838480277329,-0.6100191202216348,-0.24519158127861543,-0.2383629361544056,-0.2967863621163292,-0.21754452287868314
AC1MJ3VH,0,-0.10972281039836383,-0.11948656620833893,-0.09868602066678618,-0.15383009528650396,-0.07609912298420483,-0.08564167750924971,-0.22652216164407263,-0.2036936334604323
AC1MJ3VH,0.26,-0.11036857950942003,-0.15717112223470045,-0.21578328797374927,-0.28366154205080635,-0.10319233604681109,-0.09638920028460814,-0.25756954245658303,-0.23635593755547105
AC1MJ3VH,0.5,-0.11522002545863033,-0.18085617910257917,-0.2843476173889534,-0.4365743441849383,-0.1339936687423047,-0.10853896285964475,-0.30539982831027235,-0.2610576377953106
AC1MJ3VH,0.85,-0.12388522295635918,-0.21956544443551068,-0.37849898879404303,-0.5561526301077336,-0.11787066115030012,-0.12425196890774597,-0.3607437609508482,-0.2433743230829146
AC1MJ3VH,1,-0.13088889794886782,-0.2351358477734034,-0.3766760145900704,-0.5787431154928597,-0.1396154184152118,-0.1268512348822365,-0.34247800500376985,-0.2891874309558076
AC1NWAML,0,-0.12219841656192644,-0.026532154369486628,-0.03132852118323517,-0.16450126342004365,-0.14122398649295473,-0.17489316451574607,-0.04449540710662375,-0.09353600358909965
AC1NWAML,0.26,-0.1220662016037746,-0.0182963176966045,-0.03338980467932633,-0.2141692244863913,-0.17788848838483912,-0.20212305616407036,-0.0496925446651064,-0.10787787179840265
AC1NWAML,0.5,-0.13310582503056004,-0.03144515769846875,-0.024527490133157477,-0.4615960074442569,-0.2135958685717758,-0.24041418727276218,-0.05938457266566992,-0.11974162628821916
AC1NWAML,0.85,-0.14526848349717214,-0.07144478941703165,-0.1178549060165521,-0.48703982734668644,-0.22715976024373813,-0.26764058516056266,-0.07352623489154789,-0.1740499113192027
AC1NWAML,1,-0.1444843496638309,-0.08231561409242451,-0.23474730454113413,-0.5296025607716527,-0.23347726679000608,-0.284368412626388,-0.09081880588767313,-0.2011572561787827
AC1OCDAW,0,-0.02673546110429591,-0.09608056802000212,-0.052857909951634655,-0.13601604163161168,-0.04087103444994222,-0.05439701522673351,-0.23387072174061613,-0.15650675638055211
AC1OCDAW,0.26,-0.0264875618882303,-0.14151339484556058,-0.10932095415619236,-0.23803658002790823,-0.04781874135087282,-0.06313744583712066,-0.27163572356431925,-0.18225564173082717
AC1OCDAW,0.5,-0.016272841067798624,-0.161357802386949,-0.17905797523688896,-0.4201527388512752,-0.08430306901243172,-0.08766409950930683,-0.3131396217380915,-0.2016201435176802
AC1OCDAW,0.85,-0.01569997083267704,-0.2474359950269968,-0.40816401350901915,-0.5887359986095594,-0.08860016799330048,-0.10430589731257427,-0.36376044941339236,-0.15319994321240224
AC1OCDAW,1,-0.011791266716246656,-0.24048598484657302,-0.4517397215218248,-0.6630116533417294,-0.07433072578752177,-0.08383413188554441,-0.3431914634858085,-0.18456159673049052
AKT Inhibitor VIII,0,-0.07834057945016797,-0.12231014579826417,-0.08455161979700312,-0.09708890804487114,-0.031429769210152905,-0.038496892919280455,-0.047588638763904186,-0.009534381262219557
AKT Inhibitor VIII,0.26,-0.07704312077252755,-0.14524403556970455,-0.14331220544883386,-0.16475371821688456,-0.04075404091169714,-0.044207163985161994,-0.05848029202440575,-0.009769654055642523
AKT Inhibitor VIII,0.5,-0.0835997845317883,-0.1891720007036509,-0.3158176588716722,-0.34421530390796257,-0.07253163098245557,-0.06579731055789646,-0.08090509547427907,-0.016776594544857495
AKT Inhibitor VIII,0.85,-0.09040937436901651,-0.21670460341824613,-0.4975888526327549,-0.47415649946268806,-0.07652465579201859,-0.07577547700519999,-0.1733214461009675,-0.07840111745661593
AKT Inhibitor VIII,1,-0.10144371761731881,-0.2496657848973197,-0.5066660375136662,-0.5116648222341681,-0.06165299138030753,-0.07487685856985697,-0.18465512294373654,-0.10540641921667569
Alpelisib,0,-0.03658975531617515,-0.09718888633035278,-0.1614185314981796,-0.10862328467137938,-0.012420645206848841,-0.020605955583254267,-0.04296550892498954,-0.06337320112754292
Alpelisib,0.26,-0.054222668438089254,-0.11460778836102505,-0.28742558290858466,-0.20824988593025465,-0.01513276148756252,-0.031131120647423467,-0.04259957952948858,-0.07240332367074155
Alpelisib,0.5,-0.061033912467349447,-0.143092581920718,-0.3835252692126811,-0.32853570704869084,-0.04253836675074981,-0.02140750156189559,-0.043820376184107994,-0.08539288949532528
Alpelisib,0.85,-0.05893027977590607,-0.14103458346192063,-0.6752296155959526,-0.3520197292902182,-0.01865178286221261,-0.016626590313287424,-0.06501969043174607,-0.15241775926201406
Alpelisib,1,-0.05547523686695789,-0.1570017865771066,-0.7242828111280561,-0.40131865991508814,-0.08707422035154154,-0.02265528324567004,-0.06948867016971137,-0.15901613859014788
Alvocidib,0,-0.0737072367304529,-0.1011214669649275,-0.0831566452745048,-0.1295804165024821,-0.12614873174273913,-0.13161879803837162,-0.22835520137542653,-0.15775812329705935
Alvocidib,0.26,-0.07281024442775716,-0.13744538412896676,-0.16283133517139378,-0.20310121574103315,-0.15439209756448066,-0.15924239930050232,-0.26993589179884436,-0.18467232087830188
Alvocidib,0.5,-0.07251686734008889,-0.1788468008328202,-0.26085891111273335,-0.30359913446329284,-0.18269614829419878,-0.1986635562176351,-0.3068392496641167,-0.21875454070355166
Alvocidib,0.85,-0.06767156511022195,-0.15376588931482013,-0.5120495648857337,-0.5937794578260962,-0.25970677652703644,-0.24370603020778242,-0.3496104178472977,-0.33630753590597284
Alvocidib,1,-0.0690097157459005,-0.14385536278629724,-0.5648417393739846,-0.6361693112213659,-0.28396254800894205,-0.26938786903412976,-0.32932540141099337,-0.3899780451120478
Aminopurvalanol,0,-0.031249092483193755,-0.18184049831412896,-0.06074949026892344,-0.08828993573408811,-0.06924303911219681,-0.08459479388734391,-0.05061135898386653,-0.04208141440806113
Aminopurvalanol,0.26,-0.027541223844701195,-0.20567554551780556,-0.10089193828902983,-0.16865432263204577,-0.0805631794884085,-0.1006505694702701,-0.06581631901377707,-0.0516329453378886
Aminopurvalanol,0.5,-0.027979116894156494,-0.24306492154239778,-0.280544595179755,-0.29784401242571185,-0.10927553650340686,-0.10941891335362176,-0.08305162696754571,-0.04735278618210209
Aminopurvalanol,0.85,-0.028257013955640842,-0.26741357010175437,-0.3489819555826531,-0.5602349929141576,-0.0935817331629918,-0.10570701564622653,-0.07031278500788035,-0.04984870852432796
Aminopurvalanol,1,-0.02379963120320839,-0.27327767414786175,-0.5016352076742349,-0.6316276092426403,-0.10037150217912129,-0.10342214854221957,-0.06545384399356707,0.010958681613207169
AT-7519,0,-0.11696751319451601,-0.0901975147327811,-0.03178479353917499,-0.1419679352788469,-0.11702083596487452,-0.13228289979056698,-0.21338528268341717,-0.22729815024813538
AT-7519,0.26,-0.1106067904848949,-0.1172277294077891,-0.10425914438537164,-0.17518713273234912,-0.14443124356030268,-0.154685207496405,-0.24721731875622724,-0.263399158801844
AT-7519,0.5,-0.1094931222249352,-0.16620926633897212,-0.28205132446399434,-0.3318696635501318,-0.14925961636465687,-0.16807711019868896,-0.2836581931139152,-0.30005131872594687
AT-7519,0.85,-0.13231593326524954,-0.19259008152412288,-0.5728904490396899,-0.5368766967926897,-0.15195163204245069,-0.16839602000201406,-0.31182575475106666,-0.2747411924962287
AT-7519,1,-0.12325997904752244,-0.18692568705146978,-0.5868470731855794,-0.528920821917224,-0.18486054551521058,-0.16505017058447785,-0.30317952715343677,-0.2568979521015694
AT-9283,0,-0.1250732827585579,-0.09758217080799816,-0.09494501027118463,-0.0884478958256404,-0.08728382600251762,-0.09340721697832394,-0.07265871983307542,-0.12461167328228291
AT-9283,0.26,-0.12609041960658407,-0.12127679696641545,-0.13662019799756223,-0.17549390786025293,-0.1073496084465894,-0.10450268757451926,-0.07177874874580956,-0.15334864362384026
AT-9283,0.5,-0.13320938615990288,-0.1642034204211953,-0.11785724656184779,-0.348817034792009,-0.11870970706918375,-0.12392087170905605,-0.09326408848151642,-0.18210124122491703
AT-9283,0.85,-0.13817103713157805,-0.2388674798509532,-0.3642002087426577,-0.4826860084254087,-0.20830845241549686,-0.2004464478126627,-0.14820145374082402,-0.24044837441063296
AT-9283,1,-0.14572550044731453,-0.27330230070973555,-0.40386548559298685,-0.4644842987303035,-0.1869548236666411,-0.20021298265574544,-0.14586377413225507,-0.26742030664565697
AZD-1775,0,-0.10849974168981355,-0.11986626172909362,-0.1041588392616321,-0.1656936567382035,-0.1507693607560809,-0.13395704318955687,-0.04809495733270959,-0.16239655616055107
AZD-1775,0.26,-0.11535023635785481,-0.14526659086104074,-0.19249385927108184,-0.22752173905284537,-0.17632125283424674,-0.1504283641283687,-0.06421310299646424,-0.19256125747027086
AZD-1775,0.5,-0.11612474685633835,-0.16481302105989878,-0.30324563526619636,-0.4238723592759935,-0.190870489427691,-0.17528231872752664,-0.07499460671171755,-0.24146240503145164
AZD-1775,0.85,-0.12023943512935367,-0.193506905339708,-0.5427874814163237,-0.6500132821302186,-0.2515979850668992,-0.20908815217507867,-0.09757494418605153,-0.2748448661489752
