perturbagen,threshold,m_ratio,c_ratio,n1_ratio,a2_ratio,a3_ratio,ap_ratio,a4_ratio,c5_ratio
179324-69-7,0,1.44106463878327,0.004694835680751174,63.2,0.23699421965317918,Inf,90.71428571428571,159.5,Inf
179324-69-7,0.26,1.4787644787644787,0.006269592476489028,36.76470588235294,0.14642857142857144,Inf,106,159.5,Inf
179324-69-7,0.5,1.6528925619834711,0.009433962264150943,2.938650306748466,1.4883720930232558,Inf,641,127.4,Inf
179324-69-7,0.85,1.6311475409836065,0.009433962264150943,1.620408163265306,1.0980392156862746,Inf,Inf,20.4,Inf
179324-69-7,1,1.5476190476190477,0.014218009478672985,0.8033707865168539,1.3345454545454545,Inf,Inf,7.337662337662338,Inf
A-443654,0,0.42105263157894735,0.17391304347826086,1.7,0.038461538461538464,3.5,2.857142857142857,0.8,2.857142857142857
A-443654,0.26,0.5882352941176471,0.125,0.9285714285714286,0.125,3.5,2.857142857142857,0.8,2.857142857142857
A-443654,0.5,0.5882352941176471,0.17391304347826086,0.35,0.5882352941176471,4.4,3.5,0.8,2.857142857142857
A-443654,0.85,0.5882352941176471,0.35,0.2857142857142857,0.5,5.75,2.857142857142857,0.5882352941176471,3.5
A-443654,1,0.5882352941176471,0.35,0.35,0.35,3.5,3.5,0.42105263157894735,2.857142857142857
AC1MJ3VH,0,2,0.32,0.8333333333333334,0.2222222222222222,3.125,2,0.32,1.5384615384615385
AC1MJ3VH,0.26,2.3,0.17857142857142858,0.65,0.1,3.125,2,0.32,1.5384615384615385
AC1MJ3VH,0.5,1.5384615384615385,0.1,0.65,0.8333333333333334,3.125,2.6666666666666665,0.65,1.5384615384615385
AC1MJ3VH,0.85,1.2,0.13793103448275862,0.17857142857142858,0.65,3.7142857142857144,3.125,0.65,1.5384615384615385
AC1MJ3VH,1,1.5384615384615385,0.17857142857142858,0.32,0.5,3.7142857142857144,3.7142857142857144,0.7368421052631579,1.5384615384615385
AC1NWAML,0,0.7142857142857143,11,5,0.2,0.5,0.3333333333333333,1.4,3
AC1NWAML,0.26,0.5,11,5,0.3333333333333333,0.5,0.3333333333333333,2,3
AC1NWAML,0.5,0.5,11,5,1,0.7142857142857143,0.7142857142857143,3,3
AC1NWAML,0.85,0.3333333333333333,3,2,1.4,1.4,0.7142857142857143,3,2
AC1NWAML,1,0.7142857142857143,3,3,1.4,1.4,1.4,1.4,2
AC1OCDAW,0,6.5,0.07142857142857142,1.5,0.07142857142857142,4,4,1.1428571428571428,2.75
AC1OCDAW,0.26,14,0,1.1428571428571428,0.07142857142857142,4,4,1.5,2.75
AC1OCDAW,0.5,14,0,0.875,0.6666666666666666,4,2.75,1.5,2.75
AC1OCDAW,0.85,6.5,0,0.07142857142857142,0.6666666666666666,4,4,0.875,4
AC1OCDAW,1,6.5,0,0,0.5,4,4,0.36363636363636365,4
AKT Inhibitor VIII,0,0.4,0.10526315789473684,0.4,2,20,6,4.25,20
AKT Inhibitor VIII,0.26,0.4,0.05,0.9090909090909091,0.9090909090909091,20,6,4.25,20
AKT Inhibitor VIII,0.5,0.3125,0.05,2,1.625,9.5,6,3.2,20
AKT Inhibitor VIII,0.85,0.6153846153846154,0.05,1.625,0.5,9.5,9.5,1.3333333333333333,20
AKT Inhibitor VIII,1,1.1,0.10526315789473684,2,0.5,6,6,0.9090909090909091,20
Alpelisib,0,0.7777777777777778,0.14285714285714285,0.45454545454545453,1.2857142857142858,15,7,2.2,4.333333333333333
Alpelisib,0.26,0.6,0.23076923076923078,0.45454545454545453,0.7777777777777778,15,4.333333333333333,2.2,4.333333333333333
Alpelisib,0.5,0.7777777777777778,0.23076923076923078,0.6,0.6,15,4.333333333333333,3,4.333333333333333
Alpelisib,0.85,0.7777777777777778,0.3333333333333333,0.6,0.45454545454545453,15,7,3,4.333333333333333
Alpelisib,1,0.7777777777777778,0.3333333333333333,0.45454545454545453,0.45454545454545453,4.333333333333333,4.333333333333333,3,4.333333333333333
Alvocidib,0,1.2692307692307692,0.37209302325581395,1.0344827586206897,0.09259259259259259,3.9166666666666665,3.5384615384615383,0.11320754716981132,1.36
Alvocidib,0.26,1.1071428571428572,0.18,0.5128205128205128,0.1568627450980392,4.363636363636363,3.5384615384615383,0.1346153846153846,1.36
Alvocidib,0.5,1.0344827586206897,0.09259259259259259,0.2826086956521739,0.7878787878787878,5.555555555555555,3.5384615384615383,0.07272727272727272,1.4583333333333333
Alvocidib,0.85,0.84375,0.18,0.11320754716981132,0.3409090909090909,6.375,3.2142857142857144,0.09259259259259259,2.933333333333333
Alvocidib,1,0.9666666666666667,0.3111111111111111,0.18,0.3409090909090909,4.9,4.9,0.1346153846153846,2.933333333333333
Aminopurvalanol,0,1.5,0,1,0.25,9,9,0.25,9
Aminopurvalanol,0.26,1.5,0,1,0,9,9,0.25,9
Aminopurvalanol,0.5,1.5,0,1,0.42857142857142855,9,9,0.42857142857142855,9
Aminopurvalanol,0.85,1.5,0.1111111111111111,0.42857142857142855,0.1111111111111111,9,9,0.42857142857142855,9
Aminopurvalanol,1,1.5,0.1111111111111111,0.42857142857142855,0.1111111111111111,9,9,0.42857142857142855,Inf
AT-7519,0,0.4074074074074074,0.6521739130434783,2.8,0.15151515151515152,1.5333333333333334,1,0.4074074074074074,0.9
AT-7519,0.26,0.52,0.35714285714285715,1.5333333333333334,0.3103448275862069,1.5333333333333334,1,0.46153846153846156,0.9
AT-7519,0.5,0.5833333333333334,0.26666666666666666,0.9,1.7142857142857142,1.5333333333333334,0.9,0.5833333333333334,1
AT-7519,0.85,0.4074074074074074,0.26666666666666666,0.4074074074074074,0.8095238095238095,2.1666666666666665,1.5333333333333334,0.52,2.1666666666666665
AT-7519,1,0.4074074074074074,0.4074074074074074,0.35714285714285715,0.52,2.1666666666666665,1.5333333333333334,0.7272727272727273,2.4545454545454546
AT-9283,0,0.9166666666666666,0.09523809523809523,0.7692307692307693,0.6428571428571429,1.0909090909090908,1.5555555555555556,10.5,4.75
AT-9283,0.26,0.9166666666666666,0.09523809523809523,0.9166666666666666,1.0909090909090908,1.0909090909090908,1.5555555555555556,22,4.75
AT-9283,0.5,1.0909090909090908,0.09523809523809523,1.5555555555555556,1.875,1.0909090909090908,1.5555555555555556,22,4.75
AT-9283,0.85,1.0909090909090908,0.09523809523809523,0.9166666666666666,1.0909090909090908,1.0909090909090908,1.3,2.8333333333333335,6.666666666666667
AT-9283,1,1.0909090909090908,0.09523809523809523,0.7692307692307693,0.9166666666666666,1.875,1.875,1.875,6.666666666666667
AZD-1775,0,1.0714285714285714,0.3181818181818182,0.8125,0.6111111111111112,1.4166666666666667,1.2307692307692308,3.142857142857143,4.8
AZD-1775,0.26,1.2307692307692308,0.38095238095238093,0.7058823529411765,0.5263157894736842,1.6363636363636365,1.2307692307692308,3.142857142857143,4.8
AZD-1775,0.5,1.2307692307692308,0.45,0.9333333333333333,0.9333333333333333,1.6363636363636365,1.2307692307692308,3.8333333333333335,3.8333333333333335
AZD-1775,0.85,1.2307692307692308,0.7058823529411765,0.7058823529411765,1.0714285714285714,2.625,1.6363636363636365,3.142857142857143,3.8333333333333335
AZD-1775,1,1.2307692307692308,0.8125,0.45,0.8125,3.142857142857143,2.2222222222222223,2.625,3.142857142857143
AZD-5438,0,0.7,0.4166666666666667,2.7777777777777777,0.25925925925925924,1.125,1,0.1724137931034483,0.6190476190476191
AZD-5438,0.26,0.7,0.3076923076923077,1.6153846153846154,0.4782608695652174,1.2666666666666666,1.125,0.1724137931034483,0.6190476190476191
AZD-5438,0.5,1,0.4166666666666667,1,2.090909090909091,1.2666666666666666,1,0.13333333333333333,0.6190476190476191
AZD-5438,0.85,0.7,0.21428571428571427,0.6190476190476191,0.8888888888888888,1.2666666666666666,1,0.13333333333333333,0.7894736842105263
AZD-5438,1,0.7,0.4782608695652174,0.6190476190476191,0.6190476190476191,1.125,1,0.25925925925925924,1
BRD-K54343811,0,0.5833333333333334,0.05555555555555555,0.46153846153846156,0.9,1.375,1.7142857142857142,1.7142857142857142,2.1666666666666665
BRD-K54343811,0.26,0.5833333333333334,0.7272727272727273,0.35714285714285715,0.26666666666666666,1.7142857142857142,1.7142857142857142,1.375,2.1666666666666665
BRD-K54343811,0.5,0.46153846153846156,0.46153846153846156,0.35714285714285715,0.46153846153846156,1.375,1.375,2.1666666666666665,2.1666666666666665
BRD-K54343811,0.85,0.35714285714285715,0.46153846153846156,0.5833333333333334,0.46153846153846156,2.1666666666666665,1.375,0.9,1.7142857142857142
BRD-K54343811,1,0.35714285714285715,0.46153846153846156,0.46153846153846156,0.46153846153846156,1.7142857142857142,1.7142857142857142,0.9,2.1666666666666665
Broad-Sai-045,0,0.6875,0.5,0.6875,1.7,2.857142857142857,2.857142857142857,2,1.4545454545454546
Broad-Sai-045,0.26,0.5882352941176471,0.42105263157894735,0.8,1.25,2.857142857142857,2.857142857142857,2.375,1.4545454545454546
Broad-Sai-045,0.5,0.8,0.5,0.6875,0.8,3.5,2.857142857142857,3.5,1.4545454545454546
Broad-Sai-045,0.85,0.9285714285714286,0.5,0.8,0.5882352941176471,2.857142857142857,2.857142857142857,2.375,1.4545454545454546
Broad-Sai-045,1,0.6875,0.5882352941176471,1.0769230769230769,0.5882352941176471,2.375,3.5,2.375,2.375
Broad-Sai-595,0,0.3125,0.3125,0.5,0.75,1.625,1.625,1.3333333333333333,3.2
Broad-Sai-595,0.26,0.3125,0.4,0.75,0.3125,1.625,1.625,1.3333333333333333,3.2
Broad-Sai-595,0.5,0.3125,0.4,0.5,0.9090909090909091,2,1.625,1.3333333333333333,3.2
Broad-Sai-595,0.85,0.3125,0.4,0.6153846153846154,0.4,1.625,1.625,0.75,3.2
Broad-Sai-595,1,0.3125,0.5,0.9090909090909091,0.4,2,1.625,0.75,3.2
BS-181,0,0.5,1.4,1,1,1,1.4,2,1
BS-181,0.26,0.3333333333333333,2,0.7142857142857143,1,1,1,1.4,1
BS-181,0.5,0.5,2,0.7142857142857143,1,1,1.4,3,1
BS-181,0.85,0.7142857142857143,0.7142857142857143,0.7142857142857143,1,3,2,1,1.4
BS-181,1,1,0.7142857142857143,1,1,2,1.4,2,1.4
C30H33N3O5S,0,1.8,0.2727272727272727,0.07692307692307693,1.8,13,6,6,13
C30H33N3O5S,0.26,1.8,0.16666666666666666,0.07692307692307693,1.3333333333333333,13,6,6,13
C30H33N3O5S,0.5,1.3333333333333333,0.2727272727272727,0.2727272727272727,1.3333333333333333,6,6,6,13
C30H33N3O5S,0.85,1.3333333333333333,0.5555555555555556,0.4,2.5,3.6666666666666665,6,1.3333333333333333,6
C30H33N3O5S,1,1.8,0.5555555555555556,0.4,1.3333333333333333,3.6666666666666665,6,1.3333333333333333,6
CHEMBL1083527,0,1,0.5,0.2857142857142857,0.6363636363636364,2.6,2,2,2.6
CHEMBL1083527,0.26,1,0.8,0.5,0.5,2.6,2,2,2.6
