perturbagen,threshold,mean_m,mean_c,mean_n1,mean_a2,mean_a3,mean_ap,mean_a4,mean_c5
179324-69-7,0,0.014154836889293058,-0.07440883284838357,0.06603243775561374,-0.029790469138527755,0.1795719686115293,0.1508205517575178,0.07742155754014952,0.24280212908801627
179324-69-7,0.26,0.014896761105824406,-0.08728865532769954,0.10118289512096568,-0.06618421738155235,0.20818264014852977,0.16994449109730167,0.09256459692004779,0.2746167401913257
179324-69-7,0.5,0.026983267387869114,-0.08198113871231773,0.05686071475914753,0.03538558323224116,0.23480049240911519,0.1989788634176888,0.11019177011812517,0.30008229211982473
179324-69-7,0.85,0.03654763580143837,-0.07596933372372261,0.030789096520702757,7.439244422815331e-4,0.302613386765183,0.25545350533656125,0.13052906446454843,0.33431878126559655
179324-69-7,1,0.03657372104479479,-0.07238815957400671,-0.029669678201192002,0.017941725321035554,0.30665481425480745,0.27606113847196573,0.12299774499818236,0.34915424079741764
A-443654,0,-0.022790048546261887,-0.03491330698281887,0.004589842589334052,-0.05052301981212712,0.04550452055926368,0.02530839569018067,-0.021835948584177232,0.06977938693975151
A-443654,0.26,-0.019214685284548554,-0.04003688666142626,-0.01004222300194295,-0.07677542723316443,0.0599879073029466,0.030948489313187215,-0.026401650234722254,0.08364440979604787
A-443654,0.5,-0.014727122242644457,-0.04955912783970397,-0.06154632299991365,-0.02342675715252771,0.08299716875990641,0.04497645568154493,-0.03188264512156859,0.09596678541211062
A-443654,0.85,-0.015008822026438612,-0.037918861732575755,-0.15396927936578664,-0.08438934442812399,0.12845442171722,0.07452272038337816,-0.07525206610675465,0.1344803366443936
A-443654,1,-0.01458547630348066,-0.031218912904872824,-0.12766939960510446,-0.1202390637957038,0.14636753962509358,0.1021359770465196,-0.09622490313494239,0.14791772932450653
AC1MJ3VH,0,0.0076770386842954065,-0.03765308284482911,-7.620431502869739e-5,-0.05823847889476525,0.06579393741595295,0.0410355282824763,-0.05769481669696247,0.04488908897045648
AC1MJ3VH,0.26,0.004551718083172326,-0.0592629212194747,-0.013889115512381795,-0.09079052596781438,0.07873164786759981,0.04776028011076468,-0.06700261969677282,0.05001701739455124
AC1MJ3VH,0.5,0.002083126290036833,-0.07905261001357862,-0.016834949508070934,-0.01659027862654853,0.09482435439641017,0.05857685362774091,-0.07094366986458828,0.061502510055250544
AC1MJ3VH,0.85,0.001002877819555792,-0.0883325613789882,-0.09495409587523235,-0.05604416350285163,0.12414166801085628,0.08492215408782275,-0.08655839964255801,0.10588760494818626
AC1MJ3VH,1,7.174963032114626e-4,-0.08017031094584932,-0.08170474925446819,-0.07827177932950923,0.1428627913877508,0.0998517029476707,-0.0652406128923476,0.11757911089521456
AC1NWAML,0,-0.017293984901777946,0.03700794253102793,0.028486376835507685,-0.05561341836312829,-0.029949913158533598,-0.04330854041862351,2.7493353378878123e-4,0.018714985906721507
AC1NWAML,0.26,-0.01757197485408534,0.0524170754212398,0.04248641048651566,-0.058003836994106585,-0.03138604929440274,-0.044509809736000175,0.003231884874241109,0.027187830523179846
AC1NWAML,0.5,-0.017666082514456293,0.05327539556796432,0.056704853834297846,-0.013686148233029358,-0.02593413531096636,-0.04504791787402168,0.00982316463370016,0.043451369968459386
AC1NWAML,0.85,-0.02122035632995539,0.04444795612437801,0.12671568217894066,-0.03821584812396315,-0.004358731416022329,-0.029826410503519207,0.022587981328341767,0.05960511649569605
AC1NWAML,1,-0.014548015511042752,0.04894551296573434,0.15121617444844648,-0.05977639488511487,-0.012036630901291747,-0.027968660752873215,0.013525574677402882,0.05267551081469804
AC1OCDAW,0,0.01814831212604234,-0.0470522131655558,0.0027629901513700735,-0.06310283498233088,0.05463334086855018,0.029654379721117237,-0.04486645284689727,0.06123797230340139
AC1OCDAW,0.26,0.017353709931487188,-0.07494713120388963,-0.006536983660752773,-0.09632709759407959,0.06676274948519831,0.03579300730592523,-0.05057208992862072,0.06772639369765751
AC1OCDAW,0.5,0.017538044602980408,-0.09564454597902415,-0.012319406191781884,-0.0043610988105559035,0.07668622468084814,0.039551793378918884,-0.061131788362694756,0.08729760915993207
AC1OCDAW,0.85,0.0180440009096081,-0.1466202446616452,-0.15550641354102326,-0.08890160997716898,0.1127266582628996,0.06083606433288963,-0.08987871111620868,0.15983737180224367
AC1OCDAW,1,0.01879266811973369,-0.13746273437887593,-0.1834545598160031,-0.20906791719219953,0.13890182022338127,0.08097174500960727,-0.09689834657344255,0.18979193263041524
AKT Inhibitor VIII,0,-0.013676003806407638,-0.048025549428826995,-0.01985663691620702,0.00898306066439599,0.12735303469732354,0.1159539775617221,0.029502812447201033,0.14529365527947868
AKT Inhibitor VIII,0.26,-0.01623602234449063,-0.061728770227822395,-0.015414826032087173,-0.02043547877836681,0.1506459260331945,0.13581546225978777,0.03332531025330208,0.1702638113615916
AKT Inhibitor VIII,0.5,-0.015579309168151926,-0.07578926674480592,0.01164506193106894,0.029725187861870145,0.1665437881128739,0.15121921333889485,0.03171312660666707,0.19850341121375853
AKT Inhibitor VIII,0.85,-0.014846015727453372,-0.0860872393800133,0.018595488822257276,-0.03438551247964313,0.1788412887831571,0.16268953405490635,0.00466929153379489,0.2097582845661947
AKT Inhibitor VIII,1,-0.008799712644169294,-0.09217252202082565,0.05378242185406485,-0.06393525711748023,0.19327378138002477,0.18099418772553083,-9.440635934450853e-5,0.214982367709411
Alpelisib,0,-0.004209214980151048,-0.036040007292342434,-0.041443704593225945,0.004715932036904259,0.07932511310748291,0.0719734790568304,0.02874950715784317,0.06624198785451775
Alpelisib,0.26,-0.008473389491783124,-0.03956480189208661,-0.05753872650665416,-0.0226651340479327,0.09125948973497755,0.0827266200330817,0.03825367679097338,0.07897273478672155
Alpelisib,0.5,-0.007906366214850994,-0.052765526954700624,-0.0646129598611329,-0.06153763546734919,0.08897237458000525,0.08508431128161817,0.043238039217671394,0.09034078831283399
Alpelisib,0.85,-0.002476444134058516,-0.05533049870507716,-0.07389887259616158,-0.09932424165761797,0.10158060565716238,0.09936960362266038,0.05645779657839595,0.08736291853659262
Alpelisib,1,4.36187394325251e-4,-0.047352446498510774,-0.10521327296373037,-0.09895307402395441,0.10741346907964999,0.10062831866259456,0.06572750347248295,0.09716331157273358
Alvocidib,0,0.003867809840073869,-0.025421997452406465,9.875194518245457e-4,-0.042901403989178834,0.05147950304376086,0.03288529689022765,-0.08926945274223062,0.013636961223685977
