perturbagen,threshold,max_m,max_c,max_n1,max_a2,max_a3,max_ap,max_a4,max_c5
179324-69-7,0,0.1300360156219268,0.04405644893777245,0.11969602144055391,0.09499908277819337,0.32258030750852107,0.29633693068664563,0.17561665325672896,0.3304907789945007
179324-69-7,0.26,0.13614354827916492,0.038362154766492323,0.19409973140492998,0.10817353560507358,0.36787673055483844,0.32861486003062473,0.20707300334836606,0.37087348707102386
179324-69-7,0.5,0.14778861442572722,0.05606102503493088,0.23830382301438494,0.41558845580271,0.40279774564970794,0.3734182385649177,0.24335034478402623,0.4085802920887985
179324-69-7,0.85,0.15906378748066016,0.029439624878823484,0.34214389319335625,0.503720753772498,0.49621834380794616,0.4354365749680087,0.31261881215345444,0.49478776228940635
179324-69-7,1,0.16626676304943894,0.036832724625033425,0.5151296168999094,0.5453670779463006,0.5016872927804796,0.46793019493946625,0.3484582161471149,0.5043738330416152
A-443654,0,0.07015329013498746,0.015278247194411529,0.09657439060714955,0.020236083010177097,0.18258719529700812,0.15294207344452432,0.11705724127297967,0.3001580000275743
A-443654,0.26,0.06719260042161933,0.02085447888619359,0.15016520766284583,0.0738500555881232,0.21984642236944066,0.17453687927889458,0.13736211018489816,0.35997089488497397
A-443654,0.5,0.06569995705469518,0.0413408990685991,0.14432903087478602,0.3194460120784103,0.2796831325357692,0.2247968773529363,0.15565220432757446,0.4147910280113701
A-443654,0.85,0.07208692876466331,0.0608285891298699,0.28479237250594674,0.7734029887224059,0.35512555444871735,0.27464895866387595,0.1304243554398359,0.49797106087539905
A-443654,1,0.08152596574413591,0.07341762949806713,0.45887365999324253,0.7651162143929394,0.41878275949063,0.31620456417552195,0.11857946970675708,0.5390755395346472
AC1MJ3VH,0,0.08430847964323251,0.03700378794554322,0.0690538860864487,0.036516521914631964,0.1991790927365034,0.15477266553176783,0.06667628369869275,0.2634858028438256
AC1MJ3VH,0.26,0.08126939464321606,0.03361436152990743,0.10659197312527555,0.07380810950665476,0.2313405974541598,0.1751182772582419,0.06848684602501597,0.29325234213167156
AC1MJ3VH,0.5,0.082307470363806,0.029025620739824544,0.24314037696957777,0.4908357649722214,0.25315147039176206,0.19902939080614662,0.07911630579253727,0.33292184778877465
AC1MJ3VH,0.85,0.07312584295338155,0.010185766151620035,0.36885570508318277,0.44773743990483267,0.2971852707797774,0.24941910694567757,0.15865703720320284,0.38642499376833833
AC1MJ3VH,1,0.08079240922332515,0.025601626202841336,0.5167515207426798,0.4051443554645568,0.31929845271969565,0.2705658408249411,0.21393371595690905,0.4123642576110273
