Name_GeneSymbol	Value_LogDiffExp
ACD	-0.73095
ANKRD10	-0.69965
ARL4C	-0.55075
ARNT2	-0.52065
ATF1	-0.63305
ATP6V1D	-0.56055
AURKB	-0.6141
BAG3	-0.53465
BIRC5	-0.50705
BRCA1	-0.84395
BTK	-0.6426000000000001
BUB1B	-0.8169
CAMSAP2	-0.51685
CASP3	-0.59645
CBR3	-1.0625
CCNA2	-0.687
CCNB1	-0.5105000000000001
CCNE2	-0.7789
CD44	-0.6605000000000001
CD58	-0.50595
CDC20	-2.6466
CDC25A	-0.55565
CDC25B	-0.8806
CDC45	-0.6111000000000001
CDCA4	-0.8063
CDK1	-0.8384
CDK2	-0.8727
CDKN1B	-0.6053000000000001
CEBPD	-0.5291
CEP57	-0.85005
CLSTN1	-0.54665
COG7	-0.51815
CPNE3	-0.50135
DLD	-0.84865
DNAJA3	-2.2493499999999997
DNAJB1	-0.78645
DNMT3A	-0.7626
DYRK3	-0.8392000000000001
EDN1	-0.7622500000000001
EGF	-0.7741
EIF5	-0.62125
ETS1	-0.56565
ETV1	-0.7051499999999999
EZH2	-0.7469
FBXL12	-0.59815
FGFR2	-0.51515
FKBP4	-1.12455
GMNN	-0.7063
GNAI1	-0.50925
GRWD1	-0.75635
HEATR1	-0.6333
HLA-DMA	-0.9620500000000001
HSPB1	-0.63805
KIAA0753	-0.53115
KIAA0907	-0.6308499999999999
KIF14	-0.94575
KIF20A	-0.9368000000000001
LAP3	-0.6373
LBR	-0.7286
LIG1	-0.62975
LYPLA1	-0.55635
MCM3	-0.53485
MIF	-1.48705
MMP2	-0.5817
MRPL12	-0.7770499999999999
MTFR1	-0.54855
MYBL2	-0.7083999999999999
NARFL	-0.53595
NCAPD2	-0.53775
NOL3	-0.56015
NUP93	-1.357
NUSAP1	-1.38295
OXCT1	-0.6256999999999999
PAN2	-0.63255
PARP1	-0.53775
PCNA	-0.8184
PHKA1	-0.58045
PIGB	-0.6084
PIK3C2B	-0.7844000000000001
PLA2G4A	-0.6395000000000001
PLEKHM1	-0.79585
PLOD3	-1.29135
PNP	-0.51955
PPP2R5E	-1.81635
PSRC1	-1.05175
PTK2B	-0.60145
PTPN1	-0.606
PXN	-0.54995
RB1	-0.66685
RBM34	-1.89535
RELB	-0.5797
RFC2	-0.5791
RFC5	-0.9945
RPA3	-0.7496
S100A13	-1.1261
SCAND1	-0.58735
SNCA	-0.84275
SNX13	-0.6149
SPAG7	-0.6134
SQRDL	-0.54935
SSBP2	-0.5446
STMN1	-0.5717
SUPV3L1	-0.59055
TARBP1	-0.84265
TERT	-0.64725
THAP11	-2.15
TIMELESS	-0.6534
TOP2A	-0.8916
TOPBP1	-0.7259500000000001
TP53BP1	-0.5251
TP53BP2	-1.34925
TUBB6	-0.64175
UBE2A	-0.6800999999999999
UBE2C	-0.5378499999999999
USP22	-0.8664000000000001
VPS28	-1.2882
VPS72	-0.76545
WIPF2	-0.92895
ZFP36	-0.8101499999999999
ZNF395	-0.55915
ZW10	-0.8727499999999999
